host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,Wifi,tv,Internet,Kitchen,Heating,Washer,Refrigerator,Dishwasher,Dryer,Microwave,Stove
Unknown,0,0,0,Brooklyn,Entire home/apt,2.5,3,4,200,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,50,1,1,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Manhattan,Private room,1,1,2,50,1,1,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,148,1,1,0,1,1,1,1,0,1,1,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,2,2,102,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,169,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Queens,Entire home/apt,1,2,5,149,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,2,275,1,1,0,1,1,1,0,0,1,1,0
Unknown,0,0,0,Queens,Private room,1,1,1,75,1,1,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,2,129,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,148,1,1,0,1,1,1,1,1,1,0,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,110,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Manhattan,Private room,1,1,1,150,1,0,0,1,1,1,1,0,1,1,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,1,0,1,1,0,1,0,1,1,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,389,1,1,0,1,1,1,0,1,1,0,0
within an hour,0,0,0,Manhattan,Private room,1,1,2,48,1,0,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Manhattan,Entire home/apt,2,1,1,300,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Private room,1,1,1,149,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Brooklyn,Private room,1,1,1,47,1,0,0,1,1,1,1,1,1,1,1
a few days or more,0,0,0,Manhattan,Private room,1,3,1,55,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Manhattan,Private room,1,1,1,65,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,2,100,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,85,1,0,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,0,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,100,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,1,165,1,1,0,1,1,1,1,1,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,189,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,3,3,139,1,0,0,1,1,1,1,0,1,0,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,2,217,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,2,2,2,650,1,1,0,1,1,1,1,0,1,1,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,0.5,1,2,95,1,1,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Manhattan,Private room,1,1,0,50,1,0,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,0,1,1,107,0,0,0,0,0,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,190,1,1,0,1,1,1,1,1,0,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,2,78,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,2,2,80,1,0,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,61,1,0,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1.5,1,1,85,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,2,95,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,110,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Private room,1,1,2,58,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Private room,1.5,1,3,71,1,0,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,60,1,0,0,1,0,1,0,0,0,0,0
a few days or more,0,0,0,Manhattan,Private room,1,4,1,50,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Private room,1,1,1,100,1,1,0,1,0,0,1,0,1,0,1
Unknown,0,0,0,Brooklyn,Entire home/apt,3.5,4,6,500,1,1,0,1,1,0,0,0,0,0,0
a few days or more,0,0,0,Brooklyn,Private room,1.5,1,1,45,1,0,0,1,1,0,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Private room,1,1,1,85,1,0,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,2,107,1,1,0,1,1,0,0,0,1,1,0
within a day,0,0,0,Brooklyn,Private room,1,1,1,43,1,0,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,80,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,100,1,1,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,79,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,2,2,210,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,200,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,3,2,3,300,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Manhattan,Private room,1,1,1,139,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,2,195,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,2,45,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Manhattan,Private room,1,1,2,132,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,2,4,1,124,1,1,0,0,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,100,1,1,0,1,1,0,1,0,1,1,0
Unknown,0,0,0,Manhattan,Shared room,1,1,0,75,1,0,0,1,1,0,1,0,1,1,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,160,1,0,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Queens,Entire home/apt,1,1,1,112,1,0,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,0,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Manhattan,Private room,1,1,1,64,1,1,0,1,1,0,1,0,0,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,1,1000,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1.5,1,0,750,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Queens,Entire home/apt,2,3,4,175,1,1,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Manhattan,Private room,2,1,1,40,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,2,60,1,0,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,100,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,138,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,2,2,2,200,1,1,0,1,1,1,1,1,1,0,1
within an hour,0,0,0,Manhattan,Private room,1,1,0,95,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,125,1,1,0,1,0,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,0,1,1,250,0,0,0,0,0,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,2,4,7,449,1,0,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,88,1,0,0,1,1,1,1,1,1,0,1
within a few hours,0,0,0,Brooklyn,Private room,2,1,0,118,1,1,0,1,1,1,1,1,1,1,1
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,1,1,175,1,1,0,1,1,1,1,1,1,1,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,50,1,0,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,2,200,1,1,0,1,1,0,1,0,1,1,1
within a few hours,0,0,0,Brooklyn,Private room,2,1,0,74,1,0,0,1,1,0,1,0,0,0,1
within a day,0,0,0,Manhattan,Private room,1,2,1,92,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Queens,Private room,1,1,1,65,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,2,2,99,1,0,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,80,1,0,0,1,1,0,1,0,0,1,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,85,1,0,0,1,1,1,1,0,1,0,1
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,2,2,191,1,1,0,1,1,1,1,0,1,1,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,1000,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,35,1,0,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,275,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Manhattan,Shared room,1,1,1,123,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,2,109,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Manhattan,Private room,2,1,1,36,1,0,0,1,1,1,1,1,0,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,130,1,0,0,1,0,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,175,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Manhattan,Entire home/apt,1,1,1,264,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,89,1,1,0,0,1,0,0,0,0,0,0
Unknown,0,0,0,Queens,Private room,1,1,1,60,1,1,0,1,1,0,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,2,85,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,1,60,1,1,0,1,1,0,1,0,1,0,1
within a few hours,0,0,0,Manhattan,Private room,1,1,1,59,1,0,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Bronx,Private room,1,1,1,67,1,0,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,0,150,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,2,185,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Queens,Entire home/apt,1,1,1,119,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1.5,1,1,100,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,60,1,1,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,105,1,1,0,1,1,0,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,2,95,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,0,0,1,0,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,86,1,1,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,123,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,1,250,1,0,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,0,150,1,0,0,1,1,0,1,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1,2,1,80,1,1,0,1,0,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,148,1,1,0,1,1,1,1,1,0,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,99,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,175,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,95,1,1,0,1,1,1,0,0,1,0,0
within a day,0,0,0,Queens,Entire home/apt,0,1,0,157,0,0,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,150,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,2,3,155,1,1,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Private room,1,1,1,65,1,1,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Queens,Entire home/apt,1,2,2,90,1,1,0,1,1,0,1,0,1,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,45,1,0,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Manhattan,Private room,2,1,1,30,1,0,0,1,1,1,1,1,0,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,180,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Queens,Entire home/apt,2,2,2,182,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,180,1,1,0,0,1,0,1,0,1,1,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1.5,3,3,350,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Brooklyn,Private room,1,1,1,60,1,0,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,142,1,1,0,1,1,1,1,0,1,0,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,2,131,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,225,1,0,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,95,1,1,0,1,1,1,1,1,1,0,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,99,1,1,0,1,1,1,1,1,1,0,1
Unknown,0,0,0,Brooklyn,Private room,1.5,1,1,50,1,1,0,0,0,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,2,2,160,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,0,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Brooklyn,Private room,1,1,1,97,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,102,1,1,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1.5,4,5,250,1,1,0,1,1,1,1,1,1,0,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,135,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,2,3,3,350,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Private room,1,1,1,95,1,0,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,1,2,0,75,1,1,0,1,1,0,0,0,1,1,0
Unknown,0,0,0,Manhattan,Private room,0,1,1,150,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,2,2,180,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,250,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,2,3,4,350,1,1,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Manhattan,Private room,1,1,1,89,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Shared room,1,1,1,168,1,0,0,0,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,110,1,0,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Queens,Entire home/apt,1,1,0,60,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,0,0,1,0,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,2,75,1,0,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,150,1,1,0,1,0,1,0,0,1,0,0
within an hour,0,0,0,Bronx,Private room,1,1,2,64,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,150,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,150,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,259,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,2,2,6,250,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,200,1,1,0,1,0,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1,2,2,200,1,0,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,2,2,3,405,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,2,1,1,300,1,1,0,1,1,0,1,0,0,0,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,109,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,190,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,72,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Queens,Entire home/apt,1,1,2,108,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,125,1,1,0,0,1,0,1,0,1,1,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,1899,1,1,0,1,1,0,0,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,110,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,113,1,1,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Brooklyn,Private room,1,2,2,175,1,1,0,1,1,0,1,0,1,1,0
within a day,0,0,0,Brooklyn,Entire home/apt,2.5,3,4,315,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,155,1,1,0,1,1,1,1,0,1,1,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,175,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Private room,1,2,4,109,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,150,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Private room,1,1,1,48,1,0,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1,1,1,75,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,0,1,1,55,0,0,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,2,90,1,1,0,1,0,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1,1,2,75,1,1,0,0,1,0,1,0,1,1,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,3,465,1,1,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,3,5,149,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,0,234,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Manhattan,Entire home/apt,2,2,3,350,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,2,3,225,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,155,1,1,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,300,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Shared room,1,1,1,35,1,0,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Queens,Private room,1,1,1,81,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,0,145,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,65,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,2,2,3,80,1,0,0,1,0,1,1,1,1,1,1
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,2,3,100,1,1,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Private room,1,1,2,90,1,0,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,95,1,0,0,1,1,0,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,125,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Queens,Private room,1,1,1,80,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,175,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,2.5,3,5,495,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,76,1,1,0,1,1,1,1,0,1,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,2,65,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,0.5,1,1,150,1,1,0,1,1,0,0,0,0,1,0
within a few hours,0,0,0,Brooklyn,Private room,1.5,1,1,60,1,0,0,1,1,1,0,0,1,1,0
within a day,0,0,0,Brooklyn,Private room,1,2,1,90,1,1,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,79,1,0,0,1,1,1,1,1,1,0,1
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,2,2,122,1,1,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,400,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,125,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,80,1,1,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,2,115,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,2,2,4,250,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1.5,1,2,69,1,0,0,0,1,0,0,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,2,3,4,400,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Manhattan,Entire home/apt,1,1,1,164,1,0,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Manhattan,Private room,1,1,1,95,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,2,245,1,1,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Brooklyn,Private room,1,1,0,75,1,0,0,1,1,1,1,1,1,0,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,2,2,140,1,0,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,0,1,1,145,1,0,0,1,0,0,0,0,0,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,2,2,295,1,1,0,1,1,1,1,0,1,1,0
Unknown,0,0,0,Manhattan,Entire home/apt,2,2,2,700,1,1,0,1,1,1,1,1,1,0,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,79,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,65,1,0,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,120,1,1,0,1,1,1,1,1,1,0,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,2,45,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,65,1,0,0,0,1,0,1,0,0,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,1,2,2,120,1,1,0,1,1,1,1,1,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,2,3,4,284,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Private room,1,1,1,70,1,0,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,89,1,1,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,3,275,1,0,0,1,1,1,1,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,129,1,1,0,1,1,1,1,0,1,1,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,3,3,169,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,217,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,75,1,0,0,1,0,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Private room,1,1,1,75,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Queens,Entire home/apt,1,1,1,80,1,0,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,225,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,75,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Private room,0,1,2,71,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1.5,2,3,120,1,1,0,1,1,1,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Private room,1,1,1,75,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,99,1,0,0,1,1,0,0,0,1,0,0
a few days or more,0,0,0,Brooklyn,Private room,2,3,4,275,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,75,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,314,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,2,190,1,1,0,1,1,1,1,0,1,1,1
