host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,Wifi,tv,Internet,Kitchen,Heating,Washer,Refrigerator,Dishwasher,Dryer,Microwave,Stove
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,80,1,0,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,0,85,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,0,99,1,1,0,1,0,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,85,1,1,0,1,1,0,1,0,1,1,0
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,2,0,160,1,1,0,1,1,0,1,0,1,1,1
a few days or more,0,0,0,Manhattan,Entire home/apt,2,2,4,200,1,1,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,2,3,3,499,1,1,0,1,1,1,1,1,1,0,1
Unknown,0,0,0,Brooklyn,Entire home/apt,3,4,6,220,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,2,83,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Private room,1,1,1,100,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,2,3,3,200,1,0,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Private room,0.5,1,1,59,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,2,98,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,90,1,1,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Brooklyn,Entire home/apt,1.5,3,4,200,1,1,0,1,1,0,0,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1.5,2,3,225,1,1,0,1,1,1,1,1,1,0,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,1,170,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,2,100,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1,2,0,75,1,0,0,1,1,0,1,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,2,150,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1,1,1,70,1,1,0,1,1,1,1,0,1,1,0
within an hour,0,0,0,Brooklyn,Private room,1,1,1,89,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,155,1,1,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Manhattan,Private room,1,1,1,99,1,0,0,1,1,0,1,0,1,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,135,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,3,1,80,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1,1,1,85,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,2,2,125,1,1,0,1,1,0,1,0,0,1,1
within a few hours,0,0,0,Brooklyn,Private room,1.5,1,2,139,1,1,0,1,1,0,1,0,1,0,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,160,1,1,0,1,1,0,0,0,1,0,0
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,5,115,1,1,0,1,1,0,1,0,0,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,1,195,1,1,0,1,1,0,1,0,1,0,1
a few days or more,0,0,0,Manhattan,Entire home/apt,1,2,2,125,1,1,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,150,1,0,0,1,1,0,1,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,2,1,1,74,1,1,0,1,1,0,1,0,1,0,0
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,2,4,121,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,59,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,2,125,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,2.5,5,5,650,1,1,0,1,1,1,0,0,1,1,0
within an hour,0,0,0,Brooklyn,Private room,1,1,1,50,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Private room,0,1,1,139,1,0,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Private room,1,1,1,100,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Queens,Private room,1,1,2,73,1,0,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,135,1,1,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,2,2,3,450,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,2,2,125,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Staten Island,Private room,1,1,1,70,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,5,250,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,110,1,1,0,0,1,0,0,0,0,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,146,1,1,0,1,1,1,1,0,1,0,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,0,98,1,0,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,100,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1.5,1,1,65,1,0,0,0,1,1,0,0,1,0,0
within a day,0,0,0,Queens,Entire home/apt,2.5,5,10,395,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Bronx,Private room,1,1,1,60,1,0,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Manhattan,Private room,1,1,0,75,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1,1,1,100,1,1,0,0,1,0,1,0,1,1,0
within a day,0,0,0,Brooklyn,Private room,1,1,1,81,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,192,1,1,0,1,1,0,0,0,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,2,119,1,0,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,130,0,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Queens,Private room,1,1,1,65,1,1,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Queens,Entire home/apt,1,2,2,130,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Queens,Entire home/apt,1,1,0,107,1,1,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Queens,Private room,1,2,3,167,1,1,0,1,0,1,0,0,1,0,0
within a day,0,0,0,Queens,Entire home/apt,2,4,8,350,1,1,0,1,1,1,1,0,1,1,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,200,1,1,0,1,1,1,1,1,1,0,1
within an hour,0,0,0,Brooklyn,Private room,1.5,1,0,60,1,1,0,1,1,0,1,0,1,1,0
a few days or more,0,0,0,Manhattan,Entire home/apt,1,1,4,161,1,1,0,1,1,0,1,0,1,1,1
within a few hours,0,0,0,Bronx,Private room,1.5,1,1,45,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Queens,Private room,1,1,1,65,1,1,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Manhattan,Private room,1,1,1,100,1,0,0,0,1,1,1,0,1,1,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,85,1,1,0,1,1,0,1,0,0,0,1
a few days or more,0,0,0,Manhattan,Private room,1,1,1,78,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Queens,Entire home/apt,1,1,2,119,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,1,159,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,140,1,1,0,1,1,1,1,1,1,0,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,2,236,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,275,1,0,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,1,150,1,1,0,1,1,0,1,0,1,1,0
within an hour,0,0,0,Manhattan,Private room,1.5,1,1,42,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,2,3,139,1,1,0,0,1,1,1,0,1,1,0
a few days or more,0,0,0,Manhattan,Entire home/apt,1,1,1,150,1,0,0,1,1,0,1,0,0,0,1
within a day,0,0,0,Queens,Entire home/apt,1,3,1,186,1,0,0,1,1,1,0,0,1,1,0
within a day,0,0,0,Manhattan,Entire home/apt,1,2,2,225,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,250,1,1,0,1,1,1,0,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,3,3,500,1,1,0,1,1,0,1,0,0,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,250,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,1,77,1,1,0,1,1,0,1,0,1,0,1
a few days or more,0,0,0,Manhattan,Private room,1,1,2,110,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,125,1,0,0,0,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,2,84,1,0,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,3,3,211,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,3,135,1,0,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,0,110,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,130,1,1,0,1,1,0,0,0,1,0,0
a few days or more,0,0,0,Staten Island,Private room,1,1,1,30,1,1,0,1,1,0,1,0,0,1,1
a few days or more,0,0,0,Staten Island,Private room,1,1,1,30,1,1,0,1,1,0,0,0,0,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,170,1,1,0,1,1,1,1,1,1,1,1
a few days or more,0,0,0,Staten Island,Private room,1,1,1,30,1,1,0,1,1,0,1,0,0,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,2,175,0,0,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,205,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,2,2,2,285,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Staten Island,Private room,1,1,0,30,1,1,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Bronx,Private room,1,1,2,89,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Bronx,Entire home/apt,1,1,1,92,1,1,0,0,1,0,1,0,1,1,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,135,1,1,0,1,1,1,1,0,1,0,1
within a few hours,0,0,0,Manhattan,Entire home/apt,2,2,2,390,1,0,0,1,1,0,0,0,1,0,0
a few days or more,0,0,0,Manhattan,Private room,1,1,2,64,1,1,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Brooklyn,Private room,1,1,3,33,0,0,0,1,0,0,1,0,0,0,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,200,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,0,100,1,0,0,0,1,0,1,0,1,1,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,75,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,60,1,1,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Manhattan,Private room,1,1,1,40,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1.5,2,2,75,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,2,2,149,1,1,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,85,1,0,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,2,95,1,0,0,1,1,0,1,0,0,0,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,75,1,0,0,1,1,0,1,0,0,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,1,176,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,2,190,1,1,0,1,1,1,0,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,243,1,0,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Manhattan,Entire home/apt,1,2,3,206,1,1,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,2,2,135,1,0,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,3,150,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,175,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Queens,Entire home/apt,1,2,0,110,1,0,0,1,1,1,1,0,0,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1.5,1,2,99,1,1,0,1,1,1,1,1,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,2,70,1,0,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,122,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Queens,Private room,0,1,1,55,0,0,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,Manhattan,Private room,1,1,2,75,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,199,1,1,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,3,4,285,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Brooklyn,Private room,1,1,1,80,1,0,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Manhattan,Entire home/apt,1,3,3,595,1,1,0,1,1,1,1,1,1,0,1
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,150,1,0,0,1,1,0,1,0,1,1,1
within a few hours,0,0,0,Brooklyn,Private room,1,1,1,50,1,0,0,1,1,0,1,0,0,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,135,1,0,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,200,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,2,229,1,0,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Bronx,Entire home/apt,1,1,1,90,1,1,0,1,1,1,1,1,1,1,1
